Phase,Team1,Team2,T1_r1,T1_final,T1_extra,T1_penalties,T2_r1,T2_final,T2_extra,T2_penalties
1.etapa1,Qatar,Ecuador,0,0,0,0,2,2,0,0
1.etapa1,Iran,Anglia,0,2,0,0,3,6,0,0
1.etapa1,Senegal,Olanda,0,0,0,0,0,2,0,0
1.etapa1,Wales,USA,0,1,0,0,1,1,0,0
1.etapa1,Argentina,Arabia Saudita,1,1,0,0,0,2,0,0
1.etapa1,Tunisia,Danemarca,0,0,0,0,0,0,0,0
1.etapa1,Polonia,Mexic,0,0,0,0,0,0,0,0
1.etapa1,Franta,Australia,2,4,0,0,1,1,0,0
1.etapa1,Maroc,Croatia,0,0,0,0,0,0,0,0
1.etapa1,Japonia,Germania,0,2,0,0,1,1,0,0
1.etapa1,Spania,Costa Rica,3,7,0,0,0,0,0,0
1.etapa1,Canada,Belgia,0,0,0,0,1,1,0,0
1.etapa1,Elvetia,Cameroon,0,1,0,0,0,0,0,0
1.etapa1,Uruguay,Koreea,0,0,0,0,0,0,0,0
1.etapa1,Portugalia,Ghana,0,3,0,0,0,2,0,0
1.etapa1,Serbia,Brazilia,0,0,0,0,0,2,0,0
2.etapa2,Wales,Iran,0,0,0,0,0,2,0,0
2.etapa2,Senegal,Qatar,1,3,0,0,0,1,0,0
2.etapa2,Olanda,Ecuador,1,1,0,0,0,1,0,0
2.etapa2,USA,Anglia,0,0,0,0,0,0,0,0
2.etapa2,Tunisia,Australia,0,0,0,0,1,1,0,0
2.etapa2,Polonia,Arabia Saudita,1,2,0,0,0,0,0,0
2.etapa2,Franta,Danemarca,0,2,0,0,0,1,0,0
2.etapa2,Mexic,Argentina,0,0,0,0,0,2,0,0
2.etapa2,Japonia,Costa Rica,0,0,0,0,0,1,0,0
2.etapa2,Maroc,Belgia,0,2,0,0,0,0,0,0
2.etapa2,Croatia,Canada,2,4,0,0,1,1,0,0
2.etapa2,Spania,Germania,0,1,0,0,0,1,0,0
2.etapa2,Serbia,Cameroon,2,3,0,0,1,3,0,0
2.etapa2,Koreea,Ghana,0,2,0,0,2,3,0,0
2.etapa2,Elvetia,Brazilia,0,0,0,0,0,1,0,0
2.etapa2,Uruguay,Portugalia,0,0,0,0,0,2,0,0
3.etapa3,Qatar,Olanda,0,0,0,0,1,2,0,0
3.etapa3,Senegal,Ecuador,1,2,0,0,0,1,0,0
3.etapa3,Wales,Anglia,0,0,0,0,0,3,0,0
3.etapa3,USA,Iran,1,1,0,0,0,0,0,0
3.etapa3,Tunisia,Franta,0,1,0,0,0,0,0,0
3.etapa3,Danemarca,Australia,0,0,0,0,0,1,0,0
3.etapa3,Mexic,Arabia Saudita,0,2,0,0,0,1,0,0
3.etapa3,Polonia,Argentina,0,0,0,0,0,2,0,0
3.etapa3,Croatia,Belgia,0,0,0,0,0,0,0,0
3.etapa3,Maroc,Canada,2,2,0,0,1,1,0,0
3.etapa3,Spania,Japonia,1,1,0,0,0,2,0,0
3.etapa3,Germania,Costa Rica,1,4,0,0,0,2,0,0
3.etapa3,Portugalia,Koreea,1,1,0,0,1,2,0,0
3.etapa3,Uruguay,Ghana,2,2,0,0,0,0,0,0
3.etapa3,Serbia,Elvetia,2,2,0,0,2,3,0,0
3.etapa3,Cameroon,Brazilia,0,1,0,0,0,0,0,0
4.R16,USA,Olanda,0,1,0,0,2,3,0,0
4.R16,Australia,Argentina,0,1,0,0,1,2,0,0
4.R16,Polonia,Franta,0,1,0,0,1,3,0,0
4.R16,Senegal,Anglia,0,0,0,0,2,3,0,0
4.R16,Japonia,Croatia,1,1,1,1,0,1,1,3
4.R16,Koreea,Brazilia,0,1,0,0,4,4,0,0
4.R16,Spania,Maroc,0,0,0,0,0,0,0,3
4.R16,Portugalia,Elvetia,2,6,0,0,0,1,0,0
5.Quarter,Croatia,Brazilia,0,0,1,4,0,0,1,2
5.Quarter,Olanda,Argentina,0,2,2,3,1,2,2,4
5.Quarter,Portugalia,Maroc,0,0,0,0,1,1,0,0
5.Quarter,Franta,Anglia,1,2,0,0,0,1,0,0
6.Semi,Maroc,Franta,0,0,0,0,1,2,0,0
6.Semi,Croatia,Argentina,0,0,0,0,2,3,0,0
7.Final,Maroc,Croatia,1,1,0,0,2,2,0,0
7.Final,Franta,Argentina,0,2,3,2,2,2,3,4
